,0
0,"Вам необходимо обратиться в Единый деканат по адресу ул. Семакова, д. 18, 3 этаж, чтобы подать заявление на восстановление магнитной карты. При себе необходимо иметь паспорт или студенческий билет."
1,С 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр.
2,"Если вы потеряли магнитную карту (пропуск, проходку), вам необходимо подать заявление на ее восстановление в Едином деканате по адресу ул. Семакова, д. 18, 3 этаж. При себе необходимо иметь паспорт или студенческий билет."
3,Для оформления посещения спортивного зала вместо практических занятий по физкультуре студент к первому занятию по физической культуре представляет тренеру-преподавателю по спорту (куратору по физкультуре) пакет документов и приходит на зачётное мероприятие. ВАЖНО!!! Все документы должны быть предоставлены в течение первой учебной недели.
4,Студенческий билет выдадут в течение 5 рабочих дней после издания приказа о зачислении в порядке перевода.
5,Решение о предоставлении академического отпуска принимается в течение 10 (десяти) дней со дня подачи обучающимся заявления и прилагаемых к нему документов (при наличии).
6,"Основанием для академического отпуска по причине призыва на военную службу является повестка военного комиссариата, в которой указаны время и место отправки к месту прохождения военной службы. Отпуск предоставляется на срок 1 год и 1 месяц от даты повестки."
7,"Для получения места в общежитии вам необходимо обратиться в Центр по работе с общежитиями. Адрес: ул. Красина, д. 19 (общежитие №5), телефон: (3452) 59-75-69."
8,"Для перевода в ТюмГУ вам необходимо выполнить следующие шаги:

1. Подать заявление о переводе в Единый деканат ТюмГУ, предоставив полный пакет документов на почту ed @ utmn. ru. Заявления о переводе принимаются два раза в год, как правило, в осеннем и весеннем семестрах.

2. Получить решение ТюмГУ - справку о переводе. ТюмГУ принимает решение о возможности зачисления переводом в течение 10 рабочих дней со дня подачи заявления.

3. Оформить отчисление в своей образовательной организации - подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе.

4. Оформить зачисление в ТюмГУ, представив пакет документов: оригинал справки о периоде обучения, заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании.

В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачислении в связи с переводом. В течение 5 рабочих дней со дня издания приказа о зачислении в Едином деканате студенту выдаются студенческий билет и карта доступа в университет."
9,"Если нужно следить за ребенком во время учебы, студент может оформить отпуск по уходу за ребенком до достижения им возраста трех лет. Для этого необходимо подать заявление через личный кабинет на портале ""Вместе"" и приложить копию свидетельства о рождении ребенка. Отпуск может быть использован полностью или по частям."
10,"Вы можете восстановиться на прежних условиях обучения, если есть вакантные места на вашем курсе и направлении подготовки. Это происходит на конкурсной основе по решению аттестационной комиссии. Если вы не проходите на бюджет, то последующее восстановление будет на место по договору об оказании платных образовательных услуг."
11,"Заявления о переводе принимаются два раза в год. Для студентов очной и очно-заочной форм обучения 2 курса и последующих: с одной образовательной программы на иную в течение 2 недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком. Для студентов заочной формы обучения: с одной образовательной программы на иную не позднее, чем за 2 месяца до начала промежуточной аттестации / практики текущего семестра (триместра, модуля). Пакет документов для перевода включает заявление о переводе и заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно"". Заявления можно подать лично в ""Едином деканате"" или направить на электронную почту ed@utmn.ru."
12,Для студентов очной формы обучения оплата должна быть произведена до 1 июля и до 15 декабря соответствующего года. Для студентов заочной и очно-заочной формы обучения оплата должна быть произведена за 30 дней до начала сессии.
13,Заполненные заявления для академического отпуска можно отправить на электронную почту ed@utmn.ru.
