,question,document
0,Как я могу сформировать справку-вызов самостоятельно?,"Сформировать справку-вызов Вы можете самостоятельно в личном кабинете на портале ""Вместе""  https://vmeste.utmn.ru/login  (раздел ""Обучение""=>""Справки""). После подписания скан-копия справки-вызов направляется на корпоративную студенческую почту. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4.5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка-вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии.   При наличии академической задолженности за предыдущую сессию, справка-вызов не предоставляется."
1,"Сколько времени у меня есть до начала сессии, чтобы подать заявление на справку-вызов?","Сформировать справку-вызов Вы можете самостоятельно в личном кабинете на портале ""Вместе""  https://vmeste.utmn.ru/login  (раздел ""Обучение""=>""Справки""). После подписания скан-копия справки-вызов направляется на корпоративную студенческую почту. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4.5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка-вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии.   При наличии академической задолженности за предыдущую сессию, справка-вызов не предоставляется."
2,"Если я не уложил работы за прошлую сессию, могу ли я получить справку-вызов на текущую сессию?","Сформировать справку-вызов Вы можете самостоятельно в личном кабинете на портале ""Вместе""  https://vmeste.utmn.ru/login  (раздел ""Обучение""=>""Справки""). После подписания скан-копия справки-вызов направляется на корпоративную студенческую почту. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4.5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка-вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии.   При наличии академической задолженности за предыдущую сессию, справка-вызов не предоставляется."
3,"""Какой адрес и номер кабинета нужно указать для обращения в Отдел мобилизационной подготовки?""","По вопросу получения справки для военкомата Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу: ул. Перекопская, 15А каб.408  Телефон: (3452) 59-75-83"
4,Какие терминалы доступны для оформления справки о подтверждении обучения студентами очной формы обучения?,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)"
5,"Куда можно обратиться, если у студента нет магнитной карты?","Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)"
6,Можно ли оформить справку о подтверждении обучения студентам заочной и очно-заочной форм обучения в терминалах или только по электронной почте?,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета: в холле 1 этажа (ул. Семакова, д. 18), Школы компьютерных наук (ул. Перекопская, д.15а), Института государства и права (ул. Ленина, д.38), Финансово-экономического института (ул. Ленина, 16), Школы образования (проезд 9 Мая, д.5) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата (ул. Семакова, д.18, 3 этаж, холл) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет.  Студенты заочной и очно-заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата (ed@utmn.ru)"
7,Как я могу подать заявку на академическую справку?,"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней. По готовности скан-копия документа направляется на корпоративную студенческую почту."
8,Можно ли оформить академическую справку электронно?,"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней. По готовности скан-копия документа направляется на корпоративную студенческую почту."
9,Сколько времени займет процесс оформления академической справки?,"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней. По готовности скан-копия документа направляется на корпоративную студенческую почту."
10,Как получить справку о доходах?,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту  12222@utmn.ru  или позвонив (3452) 59-76-76.  Адрес местонахождения: г. Тюмень, ул. Кирова, д.25/1. Часы работы: пн.-чт. 09.00-17.00 пт. 09.00-16.00 обед 12.30-13.15 сб., вс. - выходные дни."
11,Какие часы работы в Сервисном центре бухгалтерии?,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту  12222@utmn.ru  или позвонив (3452) 59-76-76.  Адрес местонахождения: г. Тюмень, ул. Кирова, д.25/1. Часы работы: пн.-чт. 09.00-17.00 пт. 09.00-16.00 обед 12.30-13.15 сб., вс. - выходные дни."
