,question,gigachat_pro_answers
0,Я потерял магнитную карту. К кому обратиться?,"Для восстановления магнитной карты (пропуска, проходки) Вам необходимо подать заявление в Едином деканате по адресу: ул. Семакова, д. 18, 3 этаж. При себе нужно иметь паспорт или студенческий билет."
1,Даты подачи заявления для восстановления на очку,С 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр.
2,Что делать при потере проходки?,"Если вы потеряли магнитную карту (пропуск, проходку), вам следует подать заявление на её восстановление в Едином деканате по адресу: ул. Семакова, д. 18, 3 этаж. При себе необходимо иметь паспорт или студенческий билет."
3,Я хожу в фитнес-клуб. Как заменить физкультуру?,"Для того чтобы заменить практические занятия по физкультуре посещением спортивного зала, вам необходимо представить тренеру-преподавателю по спорту (куратору по физкультуре) пакет документов до окончания первой учебной недели. Список ответственных за приём документов по вашему институту доступен по ссылке: [https://www.utmn.ru/upload/medialibrary/676/Polozhenie-o-realizatsii-disciplin-_moduley_-po-fizicheskoy-kulture-_sportu_.pdf](https://www.utmn.ru/upload/medialibrary/676/Polozhenie-o-realizatsii-disciplin-_moduley_-po-fizicheskoy-kulture-_sportu_.pdf)."
4,Когда мне выдадут студенческий билет после перевода?,"После того как студент будет переведен в университет, ему необходимо в течение 3 рабочих дней сдать в Единый деканат студенческий билет и персональную карту доступа."
5,Сколько ждать решение по академу?,"Решение о предоставлении академического отпуска принимается в течение 10 дней со дня подачи заявления и прилагаемых к нему документов, если таковые имеются."
6,Основания для академа по призыву,"Основанием для академического отпуска по причине призыва на военную службу является повестка военного комиссариата, которая содержит информацию о времени и месте отправки к месту прохождения военной службы."
7,Как получить место в общежитии?,"Для получения места в общежитии рекомендую обратиться в Центр по работе с общежитиями. Их адрес: ул. Красина, д. 19 (общежитие №5), телефон: (3452) 59-75-69."
8,Я учусь в другом ВУЗе. Как я могу перевстись в ТюмГУ?,"Для того чтобы перевестись в ТюмГУ из другого вуза, вам необходимо собрать пакет документов. Он включает в себя заявление о зачислении переводом, справку о периоде обучения, справку о подтверждении обучения (для студентов, обучающихся на бюджетной основе), копию зачётной книжки, копию паспорта, копию лицензии и свидетельства об аккредитации вашего вуза, согласие на обработку персональных данных и другие документы. Более подробную информацию можно найти на сайте университета."
9,"Что делать, если нужно следить за ребенком во время учебы?","Ответ: Заявление на отпуск по уходу за ребенком до достижения им возраста трех лет можно подать через личный кабинет на портале ""Вместе"". К заявлению необходимо приложить копию свидетельства о рождении ребенка. Этот отпуск оформляется сроком не более трех лет с момента рождения ребенка и может быть использован полностью или по частям."
10,"Я слетел с бюджета, как мне восстановиться?","Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки (специальности) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
11,как перевестись на другое направление?,"Заявления о переводе принимаются два раза в год. Для студентов очной и очно-заочной формы обучения 2 курса и последующих: с одной образовательной программы на иную в течение 2 недель после окончания летней/зимней промежуточной аттестации в соответствии с календарным учебным графиком; с одной формы обучения на другую (с очной на очно-заочную, с очно-заочной на очную) в течение 2 недель после окончания летней/зимней промежуточной аттестации в соответствии с календарным учебным графиком; с очной/очно-заочной формы обучения на заочную с 1 сентября соответствующего календарного года, но не позднее, чем за 2 месяца до начала промежуточной аттестации/практики текущего семестра. Для студентов заочной формы обучения: с одной образовательной программы на иную не позднее, чем за 2 месяца до начала промежуточной аттестации/практики текущего семестра; с одной формы обучения на другую; с заочной на очную/очно-заочную форму обучения в первые 2 недели начала семестра по очной/очно-заочной форме обучения в соответствии с календарным учебным графиком. Пакет документов для перевода включает заявление о переводе и заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно"". Бланки заявлений можно скачать по ссылке https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-vnutri/. Заявления можно подать лично в «Едином деканате» по адресу ул. Семакова, д. 18 (3 этаж, холл) или направить на электронную почту ed@utmn.ru."
12,Я забыл когда нужно оплатить обучение,У студентов очной формы обучения сроки оплаты по договору до 1 июля и до 15 декабря соответствующего года. У студентов заочной и очно-заочной формы обучения оплату необходимо произвести за 30 дней до начала сессии.
13,Куда отправить заполненные заявления для академа?,"Заполненное заявление на академический отпуск нужно подать через личный кабинет на портале ""Вместе"" в разделе ""Заявления""."
