,question,page_id,document
0,Почему не могу получить справку-вызов?,86478987,"Сформировать справку - вызов Вы можете самостоятельно в личном кабинете на портале "" Вместе "" https : / / vmeste. utmn. ru / login ( раздел "" Обучение "" = > "" Справки "" ). После присвоения Вашей заявке статуса "" Выполнено "" на почту ed @ utmn. ru необходимо сообщить о способе, которым Вы планируете забрать готовую справку. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4. 5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка - вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии. При наличии академической задолженности за предыдущую сессию, справка - вызов не предоставляется."
1,Как получить справку-вызов?,86478987,"Сформировать справку - вызов Вы можете самостоятельно в личном кабинете на портале "" Вместе "" https : / / vmeste. utmn. ru / login ( раздел "" Обучение "" = > "" Справки "" ). После присвоения Вашей заявке статуса "" Выполнено "" на почту ed @ utmn. ru необходимо сообщить о способе, которым Вы планируете забрать готовую справку. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4. 5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка - вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии. При наличии академической задолженности за предыдущую сессию, справка - вызов не предоставляется."
2,Где получить справку-вызов?,86478987,"Сформировать справку - вызов Вы можете самостоятельно в личном кабинете на портале "" Вместе "" https : / / vmeste. utmn. ru / login ( раздел "" Обучение "" = > "" Справки "" ). После присвоения Вашей заявке статуса "" Выполнено "" на почту ed @ utmn. ru необходимо сообщить о способе, которым Вы планируете забрать готовую справку. ВАЖНО! На основании ст. 173 Трудового кодекса РФ и п. 4. 5. Положения о текущем контроле успеваемости и промежуточной аттестации обучающихся ФГАОУ ВО ТюмГУ справка - вызов на текущую сессию студентам заочной формы обучения оформляется только при успешной сдаче предыдущей сессии и предоставляется до начала сессии. При наличии академической задолженности за предыдущую сессию, справка - вызов не предоставляется."
3,Где взять справку для военкомата?,86478990,"Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу : ул. Перекопская, 15А каб. 408 Телефон : ( 3452 ) 59 - 75 - 83"
4,Как получить отсрочку от армии?,86478990,"Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу : ул. Перекопская, 15А каб. 408 Телефон : ( 3452 ) 59 - 75 - 83"
5,Где получить информацию о справке в военкомат?,86478990,"Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу : ул. Перекопская, 15А каб. 408 Телефон : ( 3452 ) 59 - 75 - 83"
6,"что делать, если военкомат просит справку?",86478990,"Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу : ул. Перекопская, 15А каб. 408 Телефон : ( 3452 ) 59 - 75 - 83"
7,Как получить справку об обучении заочнику?,86478992,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета : в холле 1 этажа Единого деканата ( ул. Семакова, д. 18 ), Школы компьютерных наук ( ул. Перекопская, д. 15а ), Института государства и права ( ул. Ленина, д. 38 ), Финансово - экономического института ( ул. Ленина, 16 ), Школы образования ( проезд 9 Мая, д. 5 ) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата ( ул. Семакова, д. 18, 3 этаж, холл ) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет. Студенты заочной и очно - заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата ( ed @ utmn. ru )"
8,Где я могу получить справку об обучении?,86478992,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета : в холле 1 этажа Единого деканата ( ул. Семакова, д. 18 ), Школы компьютерных наук ( ул. Перекопская, д. 15а ), Института государства и права ( ул. Ленина, д. 38 ), Финансово - экономического института ( ул. Ленина, 16 ), Школы образования ( проезд 9 Мая, д. 5 ) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата ( ул. Семакова, д. 18, 3 этаж, холл ) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет. Студенты заочной и очно - заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата ( ed @ utmn. ru )"
9,"Что делать, если я забуду пропуск?",86478992,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета : в холле 1 этажа Единого деканата ( ул. Семакова, д. 18 ), Школы компьютерных наук ( ул. Перекопская, д. 15а ), Института государства и права ( ул. Ленина, д. 38 ), Финансово - экономического института ( ул. Ленина, 16 ), Школы образования ( проезд 9 Мая, д. 5 ) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата ( ул. Семакова, д. 18, 3 этаж, холл ) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет. Студенты заочной и очно - заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата ( ed @ utmn. ru )"
10,как получить справку об обучении?,86478992,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета : в холле 1 этажа Единого деканата ( ул. Семакова, д. 18 ), Школы компьютерных наук ( ул. Перекопская, д. 15а ), Института государства и права ( ул. Ленина, д. 38 ), Финансово - экономического института ( ул. Ленина, 16 ), Школы образования ( проезд 9 Мая, д. 5 ) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата ( ул. Семакова, д. 18, 3 этаж, холл ) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет. Студенты заочной и очно - заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата ( ed @ utmn. ru )"
11,как получить справку о месте учёбы?,86478992,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета : в холле 1 этажа Единого деканата ( ул. Семакова, д. 18 ), Школы компьютерных наук ( ул. Перекопская, д. 15а ), Института государства и права ( ул. Ленина, д. 38 ), Финансово - экономического института ( ул. Ленина, 16 ), Школы образования ( проезд 9 Мая, д. 5 ) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата ( ул. Семакова, д. 18, 3 этаж, холл ) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет. Студенты заочной и очно - заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата ( ed @ utmn. ru )"
12,как получить справку что я студент?,86478992,"Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета : в холле 1 этажа Единого деканата ( ул. Семакова, д. 18 ), Школы компьютерных наук ( ул. Перекопская, д. 15а ), Института государства и права ( ул. Ленина, д. 38 ), Финансово - экономического института ( ул. Ленина, 16 ), Школы образования ( проезд 9 Мая, д. 5 ) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата ( ул. Семакова, д. 18, 3 этаж, холл ) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет. Студенты заочной и очно - заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата ( ed @ utmn. ru )"
13,Сколько делается табель с оценками?,86478994,"Для оформления академической справки ( справки о периоде обучения ) Вам необходимо подать заявку в « Единый деканат » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) либо на электронную почту ed @ utmn. ru. Академическая справка готовится в течение 5 ( пяти ) рабочих дней."
14,Как получить справке с оценками?,86478994,"Для оформления академической справки ( справки о периоде обучения ) Вам необходимо подать заявку в « Единый деканат » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) либо на электронную почту ed @ utmn. ru. Академическая справка готовится в течение 5 ( пяти ) рабочих дней."
15,Где получить справку с оценками?,86478994,"Для оформления академической справки ( справки о периоде обучения ) Вам необходимо подать заявку в « Единый деканат » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) либо на электронную почту ed @ utmn. ru. Академическая справка готовится в течение 5 ( пяти ) рабочих дней."
