,question,document,human_answer
0,Где продлять студак?,"Для восстановления студенческого билета Вам необходимо подать заявление в Едином деканате ( ул. Семакова, д. 18, холл 3 этажа ). При себе иметь фото 3 * 4 и паспорт. Чтобы продлить студенческий билет, необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт ( ул. Семакова, д. 18, каб. 302 либо 305 ). Если Вы потеряли магнитную карту ( пропуск, проходка ), необходимо подать заявление на ее восстановление в Едином деканате ( ул. Семакова, д. 18, 3 этаж ). При себе иметь паспорт или студенческий билет. Если Ваша магнитная карта ( пропуск, проходка ) не работает, необходимо обратиться в Центр информационных технологий по адресу : ул. Ленина, д. 23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет.",
1,Когда можно получить справку о стипендии?,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни.",
2,Как перевестись на другое направление на заочке?,"Заявления о переводе принимаются два раза в год, как правило : для студентов очной и очно [UNK] заочной форм обучения 2 курса и последующих : с одной образовательной программы на иную в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком, 1 курса ( 1 семестр ) ; с одной образовательной программы на иную в течение 2 ( двух ) недель от начала семестра в соответствии с календарным учебным графиком, 1 курса ( 2 семестр ) ; в течение 2 ( двух ) недель после окончания летней промежуточной аттестации в соответствии с календарным учебным графиком ; с одной формы обучения на другую : с очной на очно - заочную, с очно - заочной на очную [UNK] в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком ; с очной / очно - заочной формы обучения на заочную с 1 сентября соответствующего календарного года, но не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) в соответствии с календарным учебным графиком ; для студентов заочной формы обучения : с одной образовательной программы на иную не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) иной образовательной программы ; с одной формы обучения на другую ; с заочной на очную / очно [UNK] заочную форму обучения в первые 2 ( две ) недели начала семестра по очной / очно [UNK] заочной форме обучения в соответствии с календарным учебным графиком. Пакет документов для перевода : Заявление о переводе Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" Бланки заявлений можно скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - vnutri / Заявления Вы можете подать лично в « Едином деканате » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) или направить на электронную почту ed @ utmn. ru",
3,Как перевестись на другое направление?,"Заявления о переводе принимаются два раза в год, как правило : для студентов очной и очно [UNK] заочной форм обучения 2 курса и последующих : с одной образовательной программы на иную в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком, 1 курса ( 1 семестр ) ; с одной образовательной программы на иную в течение 2 ( двух ) недель от начала семестра в соответствии с календарным учебным графиком, 1 курса ( 2 семестр ) ; в течение 2 ( двух ) недель после окончания летней промежуточной аттестации в соответствии с календарным учебным графиком ; с одной формы обучения на другую : с очной на очно - заочную, с очно - заочной на очную [UNK] в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком ; с очной / очно - заочной формы обучения на заочную с 1 сентября соответствующего календарного года, но не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) в соответствии с календарным учебным графиком ; для студентов заочной формы обучения : с одной образовательной программы на иную не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) иной образовательной программы ; с одной формы обучения на другую ; с заочной на очную / очно [UNK] заочную форму обучения в первые 2 ( две ) недели начала семестра по очной / очно [UNK] заочной форме обучения в соответствии с календарным учебным графиком. Пакет документов для перевода : Заявление о переводе Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" Бланки заявлений можно скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - vnutri / Заявления Вы можете подать лично в « Едином деканате » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) или направить на электронную почту ed @ utmn. ru",
4,Могу ли я в последний момент отказаться от смены электива?,"Прежде, чем выбрать элективы, рекомендуем почитать отзывы на сервисе « Отзывус » : https : / / electives. utmn. ru. Там же можно написать о своём опыте изучения элективных дисциплин. Информация, о том, как поменять электив, отправляется на корпоративную почту в первую учебную неделю семестра.",
5,как выбрать электив?,"Прежде, чем выбрать элективы, рекомендуем почитать отзывы на сервисе « Отзывус » : https : / / electives. utmn. ru. Там же можно написать о своём опыте изучения элективных дисциплин. Информация, о том, как поменять электив, отправляется на корпоративную почту в первую учебную неделю семестра.",
6,Куда обратиться по поводу общежития?,"По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес : ул. Красина, д. 19 ( общежитие №5 ), телефон : ( 3452 ) 59 - 75 - 69",
7,Как перевестись в ТюмГУ?,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж ( при себе необходимо иметь паспорт и СНИЛС ), либо предоставив полный пакет документов на почту ed @ utmn. ru. Заявления о переводе по очной и очно - заочной формам обучения принимаются 2 ( раза ) в год, как правило, в осеннем и весеннем семестрах в течение 2 ( двух ) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат ( ed @ utmn. ru ) справку о периоде обучения ( справку об обучении ) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе. ТюмГУ не позднее 10 ( десяти ) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом. В случае положительного решения студенту выдается справка о переводе ( срок действия 15 рабочих дней с даты регистрации справки ). 3. Оформить отчисление в своей образовательной организации - подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов : оригинал справки о периоде обучения, заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании ( оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом ), оформить договор и оплатить ( в случае перевода на договорное место ). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 ( пяти ) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате ( филиале ) студенту выдаются студенческий билет и карта доступа в университет.",
8,Когда я могу повторно пройти экзамены?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /,
9,"Что делать, если я забуду пропуск?","Студенты очной формы обучения оформляют справку о подтверждении обучения самостоятельно с помощью магнитной карты в любом из терминалов, расположенных на территории Университета : в холле 1 этажа Единого деканата ( ул. Семакова, д. 18 ), Школы компьютерных наук ( ул. Перекопская, д. 15а ), Института государства и права ( ул. Ленина, д. 38 ), Финансово - экономического института ( ул. Ленина, 16 ), Школы образования ( проезд 9 Мая, д. 5 ) При отсутствии магнитной карты Вы можете обратиться к специалисту Единого деканата ( ул. Семакова, д. 18, 3 этаж, холл ) и подать заявление на ее восстановление. При себе необходимо иметь паспорт или студенческий билет. Студенты заочной и очно - заочной форм обучения могут заказать справку об обучении, написав на почту Единого деканата ( ed @ utmn. ru )",
10,Как восстановиться на договорное место?,"При восстановлении на договорное место, после рассмотрения заявления аттестационной комиссией, необходимо заключить договор, оплатить и только после этого ваши документы передадут для оформления приказа. В случае несвоевременной оплаты Университет вправе отказать в восстановлении.",
11,Можно ли восстановиться на бюджет?,"Восстановление лица, ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей форме обучения, соответствующему направлению подготовки ( специальности ) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг.",
12,В какой промежуток времени я могу пройти повторную аттестацию?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА. Повторно пройти государственную итоговую аттестацию можно не более двух раз. Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 ( трех ) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год https : / / www. utmn. ru / obrazovanie / vysshee - obrazovanie / grafiki - uchebnogo - protsessa /,
13,"Сколько максимум должно быть ребенку, чтобы я мог оформить отпуск по его уходу?","Заявление подается через личный кабинет на портале "" Вместе "". Отпуск по уходу за ребенком до достижения им возраста трех лет предоставляется обучающемуся, являющемуся матерью ( отцом, опекуном ) на основании личного заявления, к которому прилагается копия свидетельства о рождении ребенка. Отпуск по уходу за ребенком до достижения им возраста трех лет оформляется сроком не более трех лет с момента рождения ребенка и может быть использован полностью или по частям.",
14,Часы работы бухгалтерии ТюмГУ,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни.",
15,"Мне не нравится электив, на который я записался, что делать?","Прежде, чем выбрать элективы, рекомендуем почитать отзывы на сервисе « Отзывус » : https : / / electives. utmn. ru. Там же можно написать о своём опыте изучения элективных дисциплин. Информация, о том, как поменять электив, отправляется на корпоративную почту в первую учебную неделю семестра.",
16,как получить справку о размере стипендии?,"По вопросу получения справки о доходах, размере стипендии или пособии необходимо обратиться в Сервисный центр бухгалтерии, написав на почту 12222 @ utmn. ru или позвонив ( 3452 ) 59 - 76 - 76. Адрес местонахождения : г. Тюмень, ул. Кирова, д. 25 / 1. Часы работы : пн. - чт. 09. 00 - 17. 00 пт. 09. 00 - 16. 00 обед 12. 30 - 13. 15 сб., вс. - выходные дни.",
17,Сколько ждать приказ об отчислении про переводе в другой вуз?,"Подать заявление на отчисление переводом можно : лично в Едином деканате ( ул. Семакова, 18, холл 3 этаж ). При себе иметь паспорт или студенческий билет ; в личном кабинете на портале "" Вместе "" ; с корпоративной студенческой почты на почту ed @ utmn. ru. ВАЖНО! К заявлению необходимо приложить справку о переводе и перечень изученных дисциплин, пройденных практик, выполненных научных исследований, которые будут перезачтены или переаттестованы обучающемуся при переводе. Приказ об отчислении переводом готовится в течение 5 ( пяти ) рабочих дней.",
18,Когда можно подать документы на восстановление в обучении?,"Заявления на восстановление в Университет по очной и очно - заочной формам обучения принимаются два раза в год : с 01 июня по 31 июля на осенний семестр и с 01 ноября по 31 декабря на весенний семестр, если с момента отчисления не прошло 5 лет. Заявления на восстановление в Университет на первый семестр ( триместр, модуль ) первого курса принимаются, как правило, с 10 по 25 августа.",
19,Где получить справку с оценками?,"Для оформления академической справки ( справки о периоде обучения ) Вам необходимо подать заявку в « Единый деканат » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) либо на электронную почту ed @ utmn. ru. Академическая справка готовится в течение 5 ( пяти ) рабочих дней.",
20,Я потерял проходку. К кому обратиться?,"Для восстановления студенческого билета Вам необходимо подать заявление в Едином деканате ( ул. Семакова, д. 18, холл 3 этажа ). При себе иметь фото 3 * 4 и паспорт. Чтобы продлить студенческий билет, необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт ( ул. Семакова, д. 18, каб. 302 либо 305 ). Если Вы потеряли магнитную карту ( пропуск, проходка ), необходимо подать заявление на ее восстановление в Едином деканате ( ул. Семакова, д. 18, 3 этаж ). При себе иметь паспорт или студенческий билет. Если Ваша магнитная карта ( пропуск, проходка ) не работает, необходимо обратиться в Центр информационных технологий по адресу : ул. Ленина, д. 23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет.",
